Commodity,Transport Mode,Mass Shipped (kg),Avg. Dist. Shipped (km),Mass Frac. by Mode,Weighted Dist. Shipped (km)
"Agricultural Products (excludes Animal Feed, Cereal Grains, and Forage Products)",for-hire truck,114178365598.3982,401.19,0.4936871809278387,198.0623601164396
"Agricultural Products (excludes Animal Feed, Cereal Grains, and Forage Products)",company-owned truck,63408386449.53727,71.37,0.2741667161672367,19.567278532855685
"Agricultural Products (excludes Animal Feed, Cereal Grains, and Forage Products)",rail,26926889113.90696,1044.15,0.11642713493166108,121.56739293889393
"Agricultural Products (excludes Animal Feed, Cereal Grains, and Forage Products)",inland water,26729398910.317394,1539.77,0.11557322200901574,177.95618005282216
"Agricultural Products (excludes Animal Feed, Cereal Grains, and Forage Products)",air(incl. truck & air),22129744.1656448,3136.26,9.568512348669261e-05,0.30009342538637457
"Agricultural Products (excludes Animal Feed, Cereal Grains, and Forage Products)",deep sea,11577908.439615503,1752.8,5.006084076119055e-05,0.0877466416862148
Alcoholic Beverages and Denatured Alcohol,company-owned truck,58274067751.36354,59.88,0.613677581614426,36.74701358707183
Alcoholic Beverages and Denatured Alcohol,for-hire truck,36429234509.11658,697.07,0.3836321265404774,267.4184464475706
Alcoholic Beverages and Denatured Alcohol,rail,244019522.49769357,1965.14,0.0025697418459274734,5.049902491105915
Alcoholic Beverages and Denatured Alcohol,air(incl. truck & air),11447279.531584,1037.19,0.00012054999916909719,0.12503325363819592
"Animal Feed, Eggs, Honey, and Other Products of Animal Origin",for-hire truck,149164440893.87656,192.47,0.5634542889879084,108.44804700150273
"Animal Feed, Eggs, Honey, and Other Products of Animal Origin",company-owned truck,103193866489.43826,104.4,0.38980487790710805,40.695629253502084
"Animal Feed, Eggs, Honey, and Other Products of Animal Origin",rail,8737210679.583372,1163.61,0.033003970662851906,38.403750303001104
"Animal Feed, Eggs, Honey, and Other Products of Animal Origin",inland water,3636507504.1360974,1718.82,0.01373655636600394,23.61066781301489
"Animal Feed, Eggs, Honey, and Other Products of Animal Origin",air(incl. truck & air),81028.1780264,3506.38,3.0607612755598187e-07,0.0010732192121397437
Animals and Fish (live),for-hire truck,2594936742.4689813,633.53,0.6651293602494468,421.379403598832
Animals and Fish (live),company-owned truck,1304346114.1018448,212.85,0.334327570386538,71.16162335677461
Animals and Fish (live),air(incl. truck & air),2118731.6792992,1920.98,0.0005430693640152803,1.0432253868860732
Articles of Base Metal,for-hire truck,79389432077.64613,668.61,0.7621998315963527,509.6144294036374
Articles of Base Metal,company-owned truck,21727174959.58202,70.28,0.20859765162523278,14.66024295622136
Articles of Base Metal,rail,3017120941.328193,655.75,0.02896669006445375,18.994907009765548
Articles of Base Metal,air(incl. truck & air),24563307.565778397,2469.82,0.00023582671396080374,0.5824495346746723
Base Metal in Primary or Semi-Finished Forms and in Finished Basic Shapes,for-hire truck,185913887984.79932,508.09,0.7116222531193723,361.5681505874219
Base Metal in Primary or Semi-Finished Forms and in Finished Basic Shapes,company-owned truck,52148570937.36459,82.23,0.19960899075187435,16.41384730952663
Base Metal in Primary or Semi-Finished Forms and in Finished Basic Shapes,rail,17053116232.544508,765.54,0.06527418219074671,49.96999743430423
Base Metal in Primary or Semi-Finished Forms and in Finished Basic Shapes,inland water,6125813196.596186,438.94,0.023447764104135054,10.292161575869041
Base Metal in Primary or Semi-Finished Forms and in Finished Basic Shapes,air(incl. truck & air),12229238.4376984,2626.23,4.680983387147769e-05,0.12293339000829086
Basic Chemicals,company-owned truck,91827586022.30495,64.81,0.2982547169565145,19.329888205951708
Basic Chemicals,for-hire truck,90165537963.16454,949.11,0.2928564080722252,277.95294546542965
Basic Chemicals,inland water,42365065378.44932,324.74,0.1376011406879894,44.68459442701768
Basic Chemicals,rail,39034021034.98719,1130.09,0.12678195518105934,143.27501973056334
Basic Chemicals,pipeline,30507577656.240147,48.1,0.09908818616532764,4.766141754552259
Basic Chemicals,deep sea,13977652429.986044,262.53,0.04539921988376562,11.918657196084988
Basic Chemicals,air(incl. truck & air),5656752.499802399,3384.32,1.83730531183931e-05,0.06218029112964014
Cereal Grains (includes seed),for-hire truck,246948370589.2842,153.14,0.48201186705066773,73.81529732013925
Cereal Grains (includes seed),rail,119547152667.67747,754.45,0.23334086440997504,176.04401515410567
Cereal Grains (includes seed),company-owned truck,103441173992.73868,60.46,0.201904038836839,12.207118188075286
Cereal Grains (includes seed),inland water,42391706821.15975,1600.82,0.08274322970251823,132.45701697238522
Coal,rail,426097324466.71936,579.68,0.6894216361958984,399.6439340700383
